Order No,Supplier Reference,Supplier Name,Order Reference,Status,Total,Carriage Total,Created At,Created By,Direct Delivery,Expected Delivery Date,Nett Goods Total,Order Date,Warehouse - Name,Weight Total
24,AAAXX001,Axles Supplies Ltd,,[AWAITING_DELIVERY],1.20,0.00,2019-04-11T16:26:01.237,nathanl,FALSE,,1.00,11/04/2019,Stourport Bulk,0.00
25,AAAXX001,Axles Supplies Ltd,111,[AWAITING_DELIVERY],0.24,0.00,2019-04-15T10:39:47.498,nathanl,FALSE,,0.20,15/04/2019,Stourport Bulk,0.00
26,EXETR001,Supplier Warehouse,a1,[AWAITING_DELIVERY],72.00,0.00,2019-04-16T14:39:38.592,karen,FALSE,18/04/2019,60.00,16/04/2019,Kidderminster Bulk,17.50
27,APPHO001,75 A The Apple Tree House,,[AWAITING_DELIVERY],0.24,0.00,2019-04-16T15:12:18.019,karen,FALSE,,0.20,16/04/2019,Kidderminster Bulk,0.00
28,MACHH001,MAC Holdings Ltd,aa,[RECEIVED],180.00,0.00,2019-04-16T15:45:08.515,karen,FALSE,17/04/2019,150.00,16/04/2019,Kidderminster Bulk,40.00
29,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],21.00,0.00,2019-04-16T15:50:56.510,karen,FALSE,18/04/2019,17.50,16/04/2019,Kidderminster Bulk,0.50
30,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],8.40,0.00,2019-04-16T15:55:40.583,karen,FALSE,18/04/2019,7.00,16/04/2019,Kidderminster Bulk,0.20
31,BSODA001,Soda House,aa,[AWAITING_DELIVERY],132.00,0.00,2019-04-16T16:00:16.370,karen,FALSE,19/04/2019,110.00,16/04/2019,Kidderminster Bulk,200.00
32,APPHO001,75 A The Apple Tree House,aa,[AWAITING_DELIVERY],566.40,0.00,2019-04-16T16:19:31.658,karen,FALSE,18/04/2019,472.00,16/04/2019,Kidderminster Bulk,160.00
33,AAAXX001,Axles Supplies Ltd,111,[AWAITING_DELIVERY],0.24,0.00,2019-04-17T09:40:26.370,nathanl,FALSE,,0.20,17/04/2019,Stourport Bulk,0.00
34,CREAM001,The Creamery Shop,aa,[AWAITING_DELIVERY],132.00,0.00,2019-04-17T09:41:34.429,karen,FALSE,19/04/2019,110.00,17/04/2019,Kidderminster Bulk,50.00
35,APPHO001,75 A The Apple Tree House,111,[AWAITING_DELIVERY],1.20,0.00,2019-04-17T10:29:51.761,nathanl,FALSE,,1.00,17/04/2019,Stourport Bulk,1.20
36,AAAXX001,Axles Supplies Ltd,,[AWAITING_DELIVERY],0.24,0.00,2019-04-17T11:15:15.557,karen,FALSE,,0.20,17/04/2019,Kidderminster Bulk,0.00
37,AAAXX001,Axles Supplies Ltd,,[AWAITING_DELIVERY],0.24,0.00,2019-04-17T11:16:15.522,karen,FALSE,,0.20,17/04/2019,Kidderminster Bulk,0.00
38,AAAXX001,Axles Supplies Ltd,aa,"[AWAITING_DELIVERY, INVOICED]",252.00,0.00,2019-04-17T11:22:25.522,karen,FALSE,24/04/2019,210.00,17/04/2019,Kidderminster Bulk,15.00
39,BOWYE001,Bowyers Kitchens,qq,[AWAITING_DELIVERY],21.00,0.00,2019-04-17T11:23:28.534,karen,FALSE,19/04/2019,17.50,17/04/2019,Kidderminster Bulk,0.50
40,HARRY001,Harry's Arts and Crafts suppliers,aa,[AWAITING_DELIVERY],187.20,0.00,2019-04-17T15:01:12.191,karen,FALSE,19/04/2019,156.00,17/04/2019,Kidderminster Bulk,24.00
41,CHINA001,China Steel Industries pty,11,[AWAITING_DELIVERY],71.10,0.00,2019-04-23T14:29:08.057,karen,FALSE,24/04/2019,60.00,23/04/2019,Kidderminster Bulk,17.50
42,LAURA001,Laura Fashions FR,1111,[AWAITING_DELIVERY],441.00,0.00,2019-04-25T10:23:53.815,karen,FALSE,29/04/2019,350.00,25/04/2019,Kidderminster Bulk,25.00
43,LAURA001,Laura Fashions FR,11,[RECEIVED],88.20,0.00,2019-04-25T10:39:59.302,karen,FALSE,26/04/2019,70.00,25/04/2019,Kidderminster Bulk,5.00
44,EXETR001,Supplier Warehouse,11,[AWAITING_DELIVERY],283.20,0.00,2019-04-26T12:16:59.627,karen,FALSE,01/05/2019,236.00,26/04/2019,Kidderminster Bulk,80.00
45,EXETR001,Supplier Warehouse,11,[AWAITING_DELIVERY],3.31,0.00,2019-04-29T10:29:47.082,karen,FALSE,01/05/2019,2.76,29/04/2019,Kidderminster Bulk,0.12
46,EXETR001,Supplier Warehouse,145,[AWAITING_DELIVERY],240.00,0.00,2019-04-30T15:17:39.690,karen,FALSE,02/05/2019,200.00,30/04/2019,Kidderminster Bulk,0.00
47,EXETR001,Supplier Warehouse,aa,[RECEIVED],240.00,0.00,2019-04-30T15:24:38.154,karen,FALSE,01/05/2019,200.00,30/04/2019,Stourport Pick,0.00
48,HARRY001,Harry's Arts and Crafts suppliers,refresh 2,[AWAITING_DELIVERY],804.00,0.00,2019-05-07T10:25:19.572,karen,FALSE,09/05/2019,670.00,07/05/2019,Stourport Bulk,23.90
49,ABCDE001,Advanced Kitchens Ltd,refresh,[AWAITING_DELIVERY],211.68,0.00,2019-05-07T11:52:45.204,default,FALSE,10/05/2019,176.40,07/05/2019,Stourport Pick,31.50
50,ARTYS001,The Art Mart,daler 1,[AWAITING_DELIVERY],32.34,0.00,2019-05-07T14:31:03.284,karen,FALSE,10/05/2019,26.95,07/05/2019,Stourport Bulk,3.50
51,ARTSS001,All Artists Supplies Ltd,11112,[RECEIVED],420.00,0.00,2019-05-09T09:31:04.795,nathanl,FALSE,,350.00,09/05/2019,Stourport Bulk,3.50
52,CHINA001,China Steel Industries pty,11,"[AWAITING_DELIVERY, INVOICED]",1333.13,0.00,2019-05-10T15:16:56.035,karen,FALSE,24/05/2019,1125.00,10/05/2019,Stourport Pick,0.00
53,HOOSU001,Hoo Supplies China PTY,aa,[AWAITING_DELIVERY],1343.79,0.00,2019-05-10T15:54:42.538,karen,FALSE,30/05/2019,1134.00,10/05/2019,Stourport Pick,8.00
54,EXETR001,Supplier Warehouse,aa,[AWAITING_DELIVERY],2700.00,0.00,2019-05-21T09:39:10.891,karen,FALSE,22/05/2019,2250.00,21/05/2019,Stourport Pick,0.00
55,AAAXX001,Axles Supplies Ltd,1111,[AWAITING_DELIVERY],28.80,0.00,2019-05-23T16:17:59.716,nathanl,FALSE,,24.00,23/05/2019,Stourport Bulk,4.00
56,AAAXX001,Axles Supplies Ltd,1121,[RECEIVED],1824.00,0.00,2019-05-24T11:17:47.829,nathanl,FALSE,,1520.00,24/05/2019,Stourport Bulk,300.00
57,ARTYS001,The Art Mart,11121,[AWAITING_DELIVERY],109.44,0.00,2019-05-24T11:20:51.455,nathanl,FALSE,06/06/2019,91.20,24/05/2019,Stourport Pick,18.00
58,CHINA001,China Steel Industries pty,aa,[AWAITING_DELIVERY],284.40,0.00,2019-05-30T15:24:42.164,karen,FALSE,06/06/2019,240.00,30/05/2019,Stourport Pick,40.00
59,CHINA001,China Steel Industries pty,aa,[RECEIVED],284.40,0.00,2019-05-30T15:37:27.728,karen,FALSE,,240.00,30/05/2019,Stourport Pick,40.00
60,AAAXX001,Axles Supplies Ltd,aa,[RECEIVED],809.40,0.00,2019-06-03T10:14:03.469,karen,FALSE,04/06/2019,674.50,03/06/2019,Stourport Pick,0.00
61,ABCDE001,Advanced Kitchens Ltd,multi order,"[ASSIGNED, RECEIVED]",3916.80,0.00,2019-06-04T12:56:15.724,karen,FALSE,11/06/2019,3264.00,04/06/2019,Stourport Pick,1224.00
62,CHINA001,China Steel Industries pty,aa,[AWAITING_DELIVERY],94.80,0.00,2019-06-05T11:26:53.666,karen,FALSE,03/07/2019,80.00,05/06/2019,Stourport Pick,12.00
63,HERON001,Heron Soft Furnishing Supplies Ltd,aa,[AWAITING_DELIVERY],182.40,0.00,2019-06-05T16:19:42.613,karen,FALSE,07/06/2019,152.00,05/06/2019,Stourport Pick,30.00
64,STATI001,All Stationery Supplies Ltd,aa,[RECEIVED],216.00,0.00,2019-06-06T15:55:21.610,karen,FALSE,20/06/2019,180.00,06/06/2019,Stourport Pick,100.00
65,ARTYS001,The Art Mart,aa,[RECEIVED],84.00,0.00,2019-06-07T10:04:10.320,karen,FALSE,11/06/2019,70.00,07/06/2019,Stourport Pick,5.00
66,AAAXX001,Axles Supplies Ltd,buns,[AWAITING_DELIVERY],9.36,0.00,2019-06-10T11:19:12.942,karen,FALSE,12/06/2019,7.80,10/06/2019,Stourport Pick,12.00
67,BAKER001,The Village Bakery,aa,[AWAITING_DELIVERY],28.80,0.00,2019-06-10T11:25:17.830,karen,FALSE,12/06/2019,28.80,10/06/2019,Stourport Pick,24.00
68,HOOSU001,Hoo Supplies China PTY,lead time,[AWAITING_DELIVERY],32.00,0.00,2019-06-10T11:26:35.382,karen,FALSE,12/06/2019,27.00,10/06/2019,Stourport Pick,13.00
69,PLAST001,Complete Plastics Ltd,aa,[AWAITING_DELIVERY],56.00,0.00,2019-06-10T11:30:51.946,karen,FALSE,12/06/2019,56.00,10/06/2019,Stourport Pick,0.00
70,HOOSU001,Hoo Supplies China PTY,5655555,[AWAITING_DELIVERY],300.75,0.00,2019-06-13T08:59:36.029,default,FALSE,14/06/2019,253.80,13/06/2019,Stourport Bulk,122.20
71,HOOSU001,Hoo Supplies China PTY,,"[ASSIGNED, AWAITING_DELIVERY]",300.75,0.00,2019-06-13T09:12:48.557,default,FALSE,14/06/2019,253.80,13/06/2019,Stourport Bulk,122.20
72,HOOSU001,Hoo Supplies China PTY,,"[ASSIGNED, AWAITING_DELIVERY]",300.75,0.00,2019-06-13T12:55:31.271,default,FALSE,14/06/2019,253.80,13/06/2019,Stourport Bulk,122.20
73,HOOSU001,Hoo Supplies China PTY,,"[ASSIGNED, AWAITING_DELIVERY]",300.75,0.00,2019-06-13T13:02:06.902,default,FALSE,14/06/2019,253.80,,Stourport Bulk,122.20
75,AAAXX001,Axles Supplies Ltd,Nathan - Receipt,[AWAITING_DELIVERY],120.00,0.00,2019-06-14T10:03:30.027788,nathanl,FALSE,,100.00,14/06/2019,Stourport Bulk,75.00
76,AAAXX001,Axles Supplies Ltd,Nathan - receipt,"[RECEIVED, AWAITING_DELIVERY]",24.00,0.00,2019-06-14T10:03:52.952969,nathanl,FALSE,,20.00,14/06/2019,Stourport Bulk,14.00
77,HOOSU001,Hoo Supplies China PTY,aa,"[ASSIGNED, RECEIVED]",1586.95,0.00,2019-06-17T15:57:51.136296,karen,FALSE,19/06/2019,1339.20,17/06/2019,Stourport Pick,644.80
78,HOOSU001,Hoo Supplies China PTY,abc,"[ASSIGNED, AWAITING_DELIVERY]",1586.95,0.00,2019-06-18T14:17:08.941941,karen,FALSE,25/06/2019,1339.20,18/06/2019,Stourport Pick,644.80
79,PLAST001,Complete Plastics Ltd,145,[RECEIVED],306.00,0.00,2019-06-18T15:22:22.910379,karen,FALSE,,255.00,18/06/2019,Stourport Pick,186.00
80,ARTYS001,The Art Mart,aa,[RECEIVED],840.00,0.00,2019-06-21T11:00:03.288266,karen,FALSE,25/06/2019,700.00,21/06/2019,Stourport Pick,50.00
81,ARTYS001,The Art Mart,aa,[AWAITING_DELIVERY],840.00,0.00,2019-06-21T11:08:12.797264,karen,FALSE,21/06/2019,700.00,21/06/2019,Stourport Pick,50.00
82,STATI001,All Stationery Supplies Ltd,aa,[AWAITING_DELIVERY],264.00,0.00,2019-07-03T12:05:12.074287,karen,FALSE,05/07/2019,220.00,03/07/2019,Stourport Pick,0.00
83,EXETR001,Supplier Warehouse,aa,[RECEIVED],66.00,0.00,2019-07-03T12:34:09.005403,karen,FALSE,05/07/2019,55.00,03/07/2019,Stourport Pick,37.50
84,ARTYS001,The Art Mart,aa,[RECEIVED],100.80,0.00,2019-07-03T14:13:57.203829,karen,FALSE,04/07/2019,84.00,03/07/2019,Stourport Pick,6.00
85,STATI001,All Stationery Supplies Ltd,aa,[RECEIVED],92.40,0.00,2019-07-03T14:17:05.028066,karen,FALSE,04/07/2019,77.00,03/07/2019,Stourport Pick,52.50
86,BOWYE001,Bowyers Kitchens,aa,[RECEIVED],23.33,0.00,2019-07-03T14:20:04.108844,karen,FALSE,05/07/2019,19.44,03/07/2019,Stourport Pick,0.72
87,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],0.84,0.00,2019-07-04T16:04:26.534732,karen,FALSE,05/07/2019,0.70,04/07/2019,Stourport Pick,0.02
88,ARTYS001,The Art Mart,aa,[AWAITING_DELIVERY],210.60,0.00,2019-07-04T17:08:52.315096,karen,FALSE,05/07/2019,175.50,04/07/2019,Stourport Pick,5.40
89,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],4.20,0.00,2019-07-08T09:18:36.254267,karen,FALSE,11/07/2019,3.50,08/07/2019,Stourport Pick,0.10
90,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],12.00,0.00,2019-07-10T09:39:10.489150,karen,FALSE,17/07/2019,10.00,10/07/2019,Stourport Pick,0.15
91,HOOSU001,Hoo Supplies China PTY,aa,[RECEIVED],4879.24,0.00,2019-07-10T11:16:27.702901,karen,FALSE,17/07/2019,4117.50,10/07/2019,Stourport Pick,35.00
92,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],2.76,0.00,2019-07-11T09:37:39.319304,karen,FALSE,12/07/2019,2.30,11/07/2019,Stourport Pick,0.10
93,LAURA001,Laura Fashions FR,aa,[RECEIVED],189.00,0.00,2019-07-16T11:17:50.019577,karen,FALSE,16/07/2019,150.00,16/07/2019,Stourport Pick,30.00
94,LAURA001,Laura Fashions FR,aa,[AWAITING_DELIVERY],8.19,0.00,2019-07-16T11:26:25.730058,karen,FALSE,,6.50,16/07/2019,Stourport Pick,0.20
95,CHINA001,China Steel Industries pty,40091,[AWAITING_DELIVERY],3555.00,0.00,2019-07-26T16:02:38.309312,default,FALSE,,3000.00,26/07/2019,Stourport Bulk,35.00
96,HOOSU001,Hoo Supplies China PTY,aqw,"[ASSIGNED, AWAITING_DELIVERY]",29128.61,0.00,2019-07-30T12:34:37.245806,karen,FALSE,06/08/2019,24581.10,30/07/2019,Stourport Pick,5242.20
97,CHINA001,China Steel Industries pty,40091,[AWAITING_DELIVERY],3199.50,0.00,2019-08-02T16:43:59.323156,default,FALSE,,2700.00,02/08/2019,Stourport Bulk,31.50
98,LAURA001,Laura Fashions FR,aa,"[ASSIGNED, AWAITING_DELIVERY]",113.40,0.00,2019-08-05T10:42:25.480994,karen,FALSE,14/08/2019,90.00,05/08/2019,Stourport Pick,18.00
99,HOOSU001,Hoo Supplies China PTY,as,"[RECEIVED, AWAITING_DELIVERY]",5963.51,0.00,2019-08-05T16:54:33.717413,karen,FALSE,06/08/2019,5032.50,05/08/2019,Stourport Pick,38.50
100,HOOSU001,Hoo Supplies China PTY,aa,[],0.00,0.00,2019-08-06T12:58:32.759174,karen,FALSE,14/08/2019,0.00,06/08/2019,Stourport Pick,0.00
101,CHOCO001,All Chocolate Supplies Ltd,aa2,[RECEIVED],4.80,0.00,2019-08-07T09:48:36.388507,karen,FALSE,09/08/2019,4.00,07/08/2019,Stourport Pick,1.25
102,MALVE001,Malvern Water ,aa,[AWAITING_DELIVERY],42.00,0.00,2019-08-08T11:20:01.613619,karen,FALSE,15/08/2019,35.00,08/08/2019,Stourport Pick,20.00
103,MALVE001,Malvern Water ,water1,[AWAITING_DELIVERY],67.20,0.00,2019-08-08T11:31:37.035193,karen,FALSE,,56.00,08/08/2019,Stourport Pick,100.00
104,MALVE001,Malvern Water ,water1,[AWAITING_DELIVERY],571.20,0.00,2019-08-08T17:08:46.650150,karen,FALSE,10/08/2019,476.00,08/08/2019,Stourport Pick,340.00
105,EXETR001,Supplier Warehouse,,[AWAITING_DELIVERY],1800.00,0.00,2019-08-15T12:20:59.917398,default,FALSE,,1500.00,15/08/2019,Kidderminster Bulk,150.00
106,EXETR001,Supplier Warehouse,aa,[AWAITING_DELIVERY],1800.00,0.00,2019-08-20T16:17:33.375393,karen,FALSE,22/08/2019,1500.00,20/08/2019,Kidderminster Bulk,150.00
107,CHINA001,China Steel Industries pty,,[AWAITING_DELIVERY],492.72,0.00,2019-08-23T10:53:17.749238,karen,FALSE,,415.80,23/08/2019,Stourport Pick,7.00
108,AAAXX001,Axles Supplies Ltd,NL,[RECEIVED],2.40,0.00,2019-08-28T15:41:57.466167,nathanl,FALSE,,2.00,28/08/2019,Stourport Bulk,0.00
112,LAURA001,Laura Fashions FR,aa,[RECEIVED],20.48,0.00,2019-08-28T16:28:10.868863,karen,FALSE,,16.25,28/08/2019,Stourport Pick,0.50
114,HARRY001,Harry's Arts and Crafts suppliers,aa,"[ASSIGNED, RECEIVED]",216.00,0.00,2019-08-30T14:26:24.207153,karen,FALSE,04/09/2019,180.00,30/08/2019,Stourport Pick,36.00
115,CHINA001,China Steel Industries pty,aa,[RECEIVED],17.78,0.00,2019-09-03T14:28:08.664288,Karen Ives,FALSE,03/09/2019,15.00,03/09/2019,Stourport Bulk,5.00
116,CHINA001,China Steel Industries pty,a,[AWAITING_DELIVERY],4879.24,0.00,2019-09-04T12:51:21.561226,karen,FALSE,04/09/2019,4117.50,04/09/2019,Stourport Pick,35.00
117,ABCDE001,Advanced Kitchens Ltd,test 5919,[AWAITING_DELIVERY],27.60,0.00,2019-09-05T10:42:07.937734,karen,FALSE,06/09/2019,23.00,05/09/2019,Stourport Pick,7.50
118,EXETR001,Supplier Warehouse,aa,"[AWAITING_DELIVERY, INVOICED]",200.00,0.00,2019-09-05T11:19:03.328654,karen,FALSE,05/09/2019,200.00,05/09/2019,Stourport Pick,2.50
119,SUPPL001,Supply Foods Ltd,aa,[AWAITING_DELIVERY],4.80,0.00,2019-09-05T11:55:15.259163,karen,FALSE,05/09/2019,4.00,05/09/2019,Stourport Pick,5.00
120,EXETR001,Supplier Warehouse,aa,"[AWAITING_DELIVERY, INVOICED]",153.60,0.00,2019-09-05T15:24:46.723516,Karen Ives,FALSE,11/09/2019,128.00,05/09/2019,Stourport Pick,40.00
122,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],45.00,0.00,2019-09-16T15:28:17.254225,karen,FALSE,17/09/2019,37.50,16/09/2019,Stourport Pick,150.00
125,COLAZ001,The Cola Fizz Factory,aa,[RECEIVED],132.00,0.00,2019-09-17T17:25:58.813076,karen,FALSE,,110.00,17/09/2019,Stourport Pick,75.00
127,AAAXX001,Axles Supplies Ltd,aa,[AWAITING_DELIVERY],41.40,0.00,2019-09-19T09:38:57.210035,karen,FALSE,20/09/2019,34.50,19/09/2019,Stourport Pick,1.50
128,CHOCO001,All Chocolate Supplies Ltd,aa,[AWAITING_DELIVERY],9.60,0.00,2019-09-23T09:03:04.107873,karen,FALSE,25/09/2019,8.00,23/09/2019,Stourport Pick,2.50
129,HOOSU001,Hoo Supplies China PTY,aa,"[ASSIGNED, AWAITING_DELIVERY]",367.13,0.00,2019-09-23T10:39:10.775427,karen,FALSE,26/09/2019,307.13,23/09/2019,Stourport Pick,3.72
130,CHINA001,China Steel Industries pty,,[AWAITING_DELIVERY],15.41,0.00,2019-09-23T11:41:26.281955,karen,FALSE,23/09/2019,13.00,23/09/2019,Stourport Pick,2.00
131,HARRY001,Harry's Arts and Crafts suppliers,aa,[RECEIVED],216.00,0.00,2019-09-23T11:55:40.364350,karen,FALSE,25/09/2019,180.00,23/09/2019,Stourport Pick,3.00
133,STATI001,All Stationery Supplies Ltd,001,"[ASSIGNED, RECEIVED]",105.60,0.00,2019-09-26T10:15:31.253911,karen,FALSE,27/09/2019,88.00,26/09/2019,Stourport Pick,60.00
134,STATI001,All Stationery Supplies Ltd,aa,"[ASSIGNED, RECEIVED]",132.00,0.00,2019-09-26T10:37:21.771938,karen,FALSE,27/09/2019,110.00,26/09/2019,Stourport Pick,75.00
135,STATI001,All Stationery Supplies Ltd,aa,[RECEIVED],1320.00,0.00,2019-09-26T11:49:38.408942,karen,FALSE,26/09/2019,1100.00,26/09/2019,Stourport Pick,750.00
136,EXETR001,Supplier Warehouse,11,"[ASSIGNED, AWAITING_DELIVERY]",27.18,0.00,2019-10-02T10:10:17.374683,karen,FALSE,03/10/2019,22.65,02/10/2019,Stourport Pick,0.00
138,AAAXX001,Axles Supplies Ltd,1111,[RECEIVED],0.24,0.00,2019-10-02T12:33:48.747122,nathanl,FALSE,,0.20,02/10/2019,Stourport Bulk,1.00
139,CHOCO001,All Chocolate Supplies Ltd,chocs,[AWAITING_DELIVERY],33.12,1.00,2019-10-11T14:34:55.480750,karen,FALSE,12/10/2019,26.60,11/10/2019,Stourport Pick,50.00
140,CHOCO001,All Chocolate Supplies Ltd,1112,[AWAITING_DELIVERY],0.67,0.00,2019-10-11T15:00:33.943973,nathanl,FALSE,,0.56,11/10/2019,Stourport Bulk,1.00
141,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],27.60,0.00,2019-10-14T11:07:15.523081,karen,FALSE,,23.00,14/10/2019,Stourport Pick,7.50
142,BOWYE001,Bowyers Kitchens,aa,[AWAITING_DELIVERY],24.84,0.00,2019-10-14T11:09:49.117837,karen,FALSE,15/10/2019,20.24,14/10/2019,Stourport Pick,7.50
143,STATI001,All Stationery Supplies Ltd,aa,[AWAITING_DELIVERY],240.00,0.00,2019-10-14T15:32:43.428445,karen,FALSE,15/10/2019,200.00,14/10/2019,Stourport Pick,150.00
144,CHOCO001,All Chocolate Supplies Ltd,aa,[AWAITING_DELIVERY],1.92,0.00,2019-10-15T17:14:10.139430,karen,FALSE,16/10/2019,1.60,15/10/2019,Stourport Pick,0.50
145,HOOSU001,Hoo Supplies China PTY,,"[ASSIGNED, AWAITING_DELIVERY]",23.70,0.00,2019-10-16T12:03:42.772770,karen,FALSE,,20.00,16/10/2019,Stourport Pick,13.00
146,MACHH001,MAC Holdings Ltd,,"[ASSIGNED, AWAITING_DELIVERY]",18.00,0.00,2019-10-16T12:03:42.928329,karen,FALSE,,15.00,16/10/2019,Stourport Pick,0.00
147,HARRY001,Harry's Arts and Crafts suppliers,,"[ASSIGNED, AWAITING_DELIVERY]",120.00,0.00,2019-10-16T12:03:43.060093,karen,FALSE,,100.00,16/10/2019,Stourport Pick,0.00
148,MACHH001,MAC Holdings Ltd,,"[ASSIGNED, AWAITING_DELIVERY, INVOICED]",18.00,0.00,2019-10-16T12:19:04.115628,karen,FALSE,,15.00,16/10/2019,Stourport Pick,0.00
149,HARRY001,Harry's Arts and Crafts suppliers,,"[ASSIGNED, AWAITING_DELIVERY]",120.00,0.00,2019-10-16T12:19:04.244762,karen,FALSE,,100.00,16/10/2019,Stourport Pick,0.00
150,HOOSU001,Hoo Supplies China PTY,,"[ASSIGNED, AWAITING_DELIVERY]",23.70,0.00,2019-10-16T14:08:32.789949,default,FALSE,,20.00,16/10/2019,Stourport Pick,13.00
151,MACHH001,MAC Holdings Ltd,,"[ASSIGNED, AWAITING_DELIVERY]",18.00,0.00,2019-10-16T14:08:33.225952,default,FALSE,,15.00,16/10/2019,Stourport Pick,0.00
152,HOOSU001,Hoo Supplies China PTY,,"[ASSIGNED, AWAITING_DELIVERY]",23.70,0.00,2019-10-16T14:09:26.135576,default,FALSE,,20.00,16/10/2019,Stourport Pick,13.00
153,MACHH001,MAC Holdings Ltd,,"[ASSIGNED, AWAITING_DELIVERY]",18.00,0.00,2019-10-16T14:09:26.424097,default,FALSE,,15.00,16/10/2019,Stourport Pick,0.00
